ID,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15
P031,-1.393488328,-0.22879752,-0.358858948,0.126576837,0.29553235,-1.338748948,-0.304961919,-1.041362472,-2.537202687,-0.39526151,-0.706060903,-1.151402279,-1.341614736,0.067519725,-1.092717183,-0.976354386
P032,2.124941363,3.070997863,2.295250417,0.180182691,0.276903155,-0.122509332,-1.298867052,0.33999986,0.39493812,1.176021491,0.909096996,-0.016607402,-0.078125941,3.946602262,2.974613651,-1.809909279
P033,0.643336306,-1.121498922,0.415491726,0.833377669,-2.395180093,-0.202287641,1.318799731,0.669035429,2.588007827,-0.919728625,0.27264123,-0.324566204,-0.638702714,0.606986197,0.756023843,0.558385333
P034,-1.378134794,-0.501050948,-0.174712685,-1.234502954,0.141591503,-0.678940886,-1.245872762,-1.667441801,-0.086922108,-0.444202526,-0.801567013,0.227418423,0.692845218,-0.773658199,-1.110910436,-0.882350919
P035,-0.743167961,-0.842260866,0.772638216,-0.063679098,1.195556513,0.990361083,-2.222878746,-0.536047396,-0.711594008,0.321438827,-0.73636661,-0.450451557,0.435190167,-1.486070869,0.356351473,-0.369871535
P036,1.221177402,-0.303236937,-1.632168305,0.641288652,-0.806205461,-0.755956627,-0.037375406,-0.638876322,-1.08030327,-1.592116906,-0.370093466,-2.525872328,-0.043463973,-0.86535401,-0.440487758,-0.351875043
P037,0.357004713,0.421616929,1.701665687,0.131738106,-0.312018763,-1.431604032,-0.984814195,0.650277022,-0.411750271,0.266857124,0.245548104,0.373410686,-0.590496323,0.363465986,1.558417612,-0.420925723
P038,-1.068146183,-0.519945005,0.295371022,-1.093409036,-1.436888998,-0.242771287,0.152040323,-0.425478414,-2.087123005,-2.414763116,-1.073165377,0.687213696,0.115532316,-0.01554051,0.248352313,-0.82743986
P039,1.15737315,-0.983102779,0.306218594,0.314333501,2.034900226,-2.136662768,0.887188023,-2.547046792,3.563192406,2.732762737,0.203173373,-0.652286484,3.173673976,2.451479469,0.785325818,0.443346251
P040,-1.438346622,0.346765547,-0.742231987,-0.858815636,-0.041547536,-0.547736799,0.674438621,-0.021051308,-0.585164873,-0.205673103,-0.286130759,-1.242919873,-0.059343337,-0.14493374,-0.567999227,-1.252690231
